class,area,year,id,
'Restinga Herbácea',3692.253716,2007,1,
'Pastagem',3913734.733,2007,1,
'Soja',4327787.524,2007,1,
'Cana',368349.5117,2007,1,
'Arroz',407.3525023,2007,1,
'Algodão (beta)',0,2007,1,
'Outras Lavouras Temporárias',1544406.527,2007,1,
'Café',53289.48622,2007,1,
'Outras Lavouras Perenes',4210.551126,2007,1,
'Silvicultura',697082.7076,2007,1,
'Mosaico de Usos',3073464.44,2007,1,
'Praia  Duna e Areal',390.3721235,2007,1,
'Área Urbanizada',227738.9998,2007,1,
'Mineração',2989.933753,2007,1,
'Outras Áreas não Vegetadas',7454.970838,2007,1,
'Rio Lago e Oceano',385178.1917,2007,1,
'Aquicultura',0,2007,1,
'Formação Florestal',4972527.585,2008,1,
'Formação Savânica',444.6722015,2008,1,
'Mangue',19339.42077,2008,1,
'Restinga Arbórea',135889.8275,2008,1,
'Campo Alagado e Área Pantanosa',155121.9349,2008,1,
'Formação Campestre',35076.85548,2008,1,
'Apicum',393.6857292,2008,1,
'Afloramento Rochoso',9358.251886,2008,1,
'Restinga Herbácea',3707.390719,2008,1,
'Pastagem',3779992.28,2008,1,
'Soja',4162757.897,2008,1,
'Cana',452308.8386,2008,1,
'Arroz',451.3733104,2008,1,
'Algodão (beta)',0,2008,1,
'Outras Lavouras Temporárias',1738503.872,2008,1,
'Café',49349.48894,2008,1,
'Outras Lavouras Perenes',4454.139308,2008,1,
'Silvicultura',728305.6186,2008,1,
'Mosaico de Usos',3052323.733,2008,1,
'Praia  Duna e Areal',380.494697,2008,1,
'Área Urbanizada',231900.4801,2008,1,
'Mineração',3094.608869,2008,1,
'Outras Áreas não Vegetadas',7434.097532,2008,1,
'Rio Lago e Oceano',384762.7964,2008,1,
'Aquicultura',0,2008,1,
'Formação Florestal',4983452.079,2009,1,
'Formação Savânica',424.9208169,2009,1,
'Mangue',19400.65194,2009,1,
'Restinga Arbórea',135802.4525,2009,1,
'Campo Alagado e Área Pantanosa',155472.1867,2009,1,
'Formação Campestre',35866.14847,2009,1,
'Apicum',373.8726218,2009,1,
'Afloramento Rochoso',9358.023005,2009,1,
'Restinga Herbácea',3694.258853,2009,1,
'Pastagem',3659986.242,2009,1,
'Soja',4248518.038,2009,1,
'Cana',518693.6753,2009,1,
'Arroz',444.072246,2009,1,
'Algodão (beta)',0,2009,1,
'Outras Lavouras Temporárias',1671643.693,2009,1,
'Café',45345.45719,2009,1,
'Outras Lavouras Perenes',3389.756884,2009,1,
'Silvicultura',778343.6892,2009,1,
'Mosaico de Usos',3025985.288,2009,1,
'Praia  Duna e Areal',385.4294257,2009,1,
'Área Urbanizada',235204.2469,2009,1,
'Mineração',3202.924987,2009,1,
'Outras Áreas não Vegetadas',7314.931082,2009,1,
'Rio Lago e Oceano',385614.4856,2009,1,
'Aquicultura',0,2009,1,
'Formação Florestal',5000585.98,2010,1,
'Formação Savânica',477.0901822,2010,1,
'Mangue',19608.6245,2010,1,
'Restinga Arbórea',135474.6705,2010,1,
'Campo Alagado e Área Pantanosa',155790.8355,2010,1,
'Formação Campestre',36383.47321,2010,1,
'Apicum',365.5380768,2010,1,
'Afloramento Rochoso',9348.233866,2010,1,
'Restinga Herbácea',3710.537988,2010,1,
'Pastagem',3580204.313,2010,1,
'Soja',4459937.551,2010,1,
'Cana',527605.2641,2010,1,
'Arroz',412.3201978,2010,1,
'Algodão (beta)',0,2010,1,
'Outras Lavouras Temporárias',1479513.012,2010,1,
'Café',42895.5346,2010,1,
'Outras Lavouras Perenes',2660.991903,2010,1,
'Silvicultura',825812.6494,2010,1,
'Mosaico de Usos',3005895.848,2010,1,
'Praia  Duna e Areal',431.1191103,2010,1,
'Área Urbanizada',240872.9204,2010,1,
'Mineração',3315.609451,2010,1,
'Outras Áreas não Vegetadas',7008.728707,2010,1,
'Rio Lago e Oceano',389608.4653,2010,1,
'Aquicultura',0,2010,1,
'Formação Florestal',5003402.726,2011,1,
'Formação Savânica',602.6667015,2011,1,
'Mangue',19529.20912,2011,1,
